/M1/D (Wp=2e-06) X,/M1/D (Wp=2e-06) Y,/M1/D (Wp=3.6e-06) X,/M1/D (Wp=3.6e-06) Y,/M1/D (Wp=5.2e-06) X,/M1/D (Wp=5.2e-06) Y,/M1/D (Wp=6.8e-06) X,/M1/D (Wp=6.8e-06) Y,/M1/D (Wp=8.4e-06) X,/M1/D (Wp=8.4e-06) Y,/M1/D (Wp=1e-05) X,/M1/D (Wp=1e-05) Y
1.640000000000001,0.0002911599874308812,1.640000000000001,0.0005230333138776459,1.640000000000001,0.0007549104822809805,1.640000000000001,0.0009867880660534732,1.640000000000001,0.001218665255874366,1.640000000000001,0.001450541761482877
1.680000000000001,0.0002948537551625905,1.680000000000001,0.00052968541061499,1.680000000000001,0.0007645209148391461,1.680000000000001,0.000999356833121052,1.680000000000001,0.001234192354214977,1.680000000000001,0.001469027187168878
1.720000000000001,0.0002985671719695689,1.720000000000001,0.0005363730391517981,1.720000000000001,0.0007741827617624139,1.720000000000001,0.001011992897086643,1.720000000000001,0.001249802631983503,1.720000000000001,0.001487611674820281
1.760000000000001,0.0003023004222094671,1.760000000000001,0.000543096529413579,1.760000000000001,0.0007838964985466336,1.760000000000001,0.00102469687901243,1.760000000000001,0.001265496855802889,1.760000000000001,0.001506296136614778
1.800000000000001,0.0003060536760762149,1.800000000000001,0.0005498561860054795,1.800000000000001,0.0007936625642102061,1.800000000000001,0.001037469352326188,1.800000000000001,0.001281275733505032,1.800000000000001,0.001525081414782551
1.840000000000001,0.0003098270908910087,1.840000000000001,0.000556652290517574,1.840000000000001,0.00080348136461377,1.840000000000001,0.001050310847155408,1.840000000000001,0.001297139919479273,1.840000000000001,0.001543968287969351
1.880000000000001,0.0003136208122250985,1.880000000000001,0.0005634851035299729,1.880000000000001,0.0008133532753476869,1.880000000000001,0.001063221854097137,1.880000000000001,0.001313090019324633,1.880000000000001,0.001562957476771087
1.920000000000001,0.000317434974882527,1.920000000000001,0.0005703548663677306,1.920000000000001,0.0008232786442592154,1.920000000000001,0.001076202827517545,1.920000000000001,0.001329126593921821,1.920000000000001,0.001582049648578218
1.960000000000001,0.0003212697037653117,1.960000000000001,0.0005772618026460856,1.960000000000001,0.0008332577936778963,1.960000000000001,0.001089254188457348,1.960000000000001,0.001345250163018613,1.960000000000001,0.001601245421841186
2,0.000325125114639673,2,0.0005842061196389017,2,0.0008432910223861692,2,0.001102376327204725,2,0.001361461208405233,2,0.001620545369848097
